CSER ID,Customer,CS Sales LOB,Customer LOB,Maximum of City,Maximum of Country,Maximum of State/Province,LinkedIn URL,Web Address
134593,"5106732 Street Smart Rentals, LLC",General Business,Services : Other,Lino Lakes,United States,MN,http://www.linkedin.com/company/1741674,http://www.streetsmartrental.com
137471,4690271 Westward360 Inc.,General Business,Real Estate,Chicago,United States,IL,http://www.linkedin.com/company/westward-management,http://www.westward360.com
139049,"5345489 Allen Media, LLC",AMP,Advertising & Marketing Services,Atlanta,United States,GA,http://www.linkedin.com/company/centrilogic,http://www.centrilogic.com
142464,1194050 3Gmetalworx Inc,Manufacturing,Manufacturing,Concord,Canada,ON,- None -,http://www.3gmetalworx.com
145024,6518073 Spectrum Sports Int'l,Manufacturing,Manufacturing,Logan,United States,UT,- None -,http://www.spectrumsports.com
145117,7588625 Ironclad Inc.,Software,Computer Software,San Francisco,United States,CA,http://www.linkedin.com/company/ironclad-inc-,http://www.ironcladapp.com
146814,"5557380 Komar Industries, LLC",Manufacturing,Manufacturing,Groveport,United States,OH,http://www.linkedin.com/company/komar-industries-inc-,https://www.komarindustries.com/
148252,8950528 Centauri Transport LLC,General Business,Logistic & Transportation Services,Miami,United States,FL,- None -,http://www.centauritransport.com
152729,6767852 Turing Video,Manufacturing,Manufacturing,San Mateo,United States,CA,https://www.linkedin.com/sales/company/24793156,http://www.turingvideo.com
152458,6756456 Good American,"AFA (Apparel, Footwear, Accessories)","AFA (Apparel, Footwear, Accessories)",,,,,goodamerican.com
142063,8518051 Western AG Supply 2009 Inc.,Wholesale Distribution,Manufacturing,Lethbridge,Canada,AB,- None -,https://www.westernagsupply.com/index.html
142417,"3591539 Elasticsearch, Inc.",Software,Computer Software,San Jose,United States,CA,http://www.linkedin.com/company/elastic-co,http://www.elastic.co
177491,"35165 SnapLogic, Inc",Software,Cloud Computing / Web-based Software,San Mateo,United States,CA,http://www.linkedin.com/company/210766,http://www.snaplogic.com
